battery_id,n0,model,life,fit_success,b_at_lower_bound,c_near_bound,finite_scenarios,structural_life_min,structural_life_median,structural_life_max,structural_relative_span_percent
5,21,power,1098.8658978185206,True,False,False,15,1016.0068072811969,1141.6326608982756,6546.231759807677,484.4136946971288
5,21,centered_quadratic,1133.6769449028295,True,False,False,15,1016.0068072811969,1141.6326608982756,6546.231759807677,484.4136946971288
5,31,linear,5833.710482628011,True,False,False,15,1016.0068072811969,1141.6326608982756,6546.231759807677,484.4136946971288
5,31,power,1119.5574018862062,True,False,False,15,1016.0068072811969,1141.6326608982756,6546.231759807677,484.4136946971288
5,31,centered_quadratic,1141.6326608982756,True,False,False,15,1016.0068072811969,1141.6326608982756,6546.231759807677,484.4136946971288
5,41,linear,5565.906324717334,True,False,False,15,1016.0068072811969,1141.6326608982756,6546.231759807677,484.4136946971288
5,41,power,1157.4846759245613,True,False,False,15,1016.0068072811969,1141.6326608982756,6546.231759807677,484.4136946971288
5,41,centered_quadratic,1161.8181248518376,True,False,False,15,1016.0068072811969,1141.6326608982756,6546.231759807677,484.4136946971288
5,51,linear,5419.946618973451,True,False,False,15,1016.0068072811969,1141.6326608982756,6546.231759807677,484.4136946971288
5,51,power,1054.8200899175822,True,False,False,15,1016.0068072811969,1141.6326608982756,6546.231759807677,484.4136946971288
5,51,centered_quadratic,1111.4156735266185,True,False,False,15,1016.0068072811969,1141.6326608982756,6546.231759807677,484.4136946971288
9,11,linear,2139.1840442182847,True,False,False,15,717.9924622268602,909.4293200095078,2139.1840442182847,156.27290111743554
9,11,power,796.9081295592641,True,False,False,15,717.9924622268602,909.4293200095078,2139.1840442182847,156.27290111743554
9,11,centered_quadratic,717.9924622268602,True,False,False,15,717.9924622268602,909.4293200095078,2139.1840442182847,156.27290111743554
9,21,linear,2037.5256895614045,True,False,False,15,717.9924622268602,909.4293200095078,2139.1840442182847,156.27290111743554
9,21,power,851.1686206751539,True,False,False,15,717.9924622268602,909.4293200095078,2139.1840442182847,156.27290111743554
9,21,centered_quadratic,750.2497988950828,True,False,False,15,717.9924622268602,909.4293200095078,2139.1840442182847,156.27290111743554
9,31,linear,1956.6092364230065,True,False,False,15,717.9924622268602,909.4293200095078,2139.1840442182847,156.27290111743554
9,31,power,909.4293200095078,True,False,False,15,717.9924622268602,909.4293200095078,2139.1840442182847,156.27290111743554
9,31,centered_quadratic,786.1491528364559,True,False,False,15,717.9924622268602,909.4293200095078,2139.1840442182847,156.27290111743554
9,41,linear,1898.381660656101,True,False,False,15,717.9924622268602,909.4293200095078,2139.1840442182847,156.27290111743554
9,41,power,945.5663582412468,True,False,False,15,717.9924622268602,909.4293200095078,2139.1840442182847,156.27290111743554
9,41,centered_quadratic,811.5664502918178,True,False,False,15,717.9924622268602,909.4293200095078,2139.1840442182847,156.27290111743554
9,51,linear,1844.6218978598747,True,False,False,15,717.9924622268602,909.4293200095078,2139.1840442182847,156.27290111743554
9,51,power,1005.3351133133837,True,False,False,15,717.9924622268602,909.4293200095078,2139.1840442182847,156.27290111743554
9,51,centered_quadratic,851.7608832090904,True,False,False,15,717.9924622268602,909.4293200095078,2139.1840442182847,156.27290111743554
10,11,linear,8676.13323666709,True,False,False,15,1501.0011996114902,2333.0899529791686,8676.13323666709,307.5377367209324
10,11,power,1845.099821608049,True,False,False,15,1501.0011996114902,2333.0899529791686,8676.13323666709,307.5377367209324
10,11,centered_quadratic,1501.0011996114902,True,False,False,15,1501.0011996114902,2333.0899529791686,8676.13323666709,307.5377367209324
10,21,linear,8150.903099846475,True,False,False,15,1501.0011996114902,2333.0899529791686,8676.13323666709,307.5377367209324
10,21,power,2333.0899529791686,True,False,False,15,1501.0011996114902,2333.0899529791686,8676.13323666709,307.5377367209324
10,21,centered_quadratic,1684.4153540168495,True,False,False,15,1501.0011996114902,2333.0899529791686,8676.13323666709,307.5377367209324
10,31,linear,7845.681300155968,True,False,False,15,1501.0011996114902,2333.0899529791686,8676.13323666709,307.5377367209324
