C1,Q1,C2,T_theoretical_0_80,A,E_L_50,E_H_50,D_50,nearest_standardized_distance,A_z,D_z,selection_q50,selection_q90,selection_q95,point_prediction
4.6,33.0,5.2,9.727424749163879,4.952500000000001,4.804,5.2,0.3959999999999999,1.754927939499229,0.8994025019695492,0.7979227096883921,0.00011100913121755198,0.00012362414418309157,0.0001240779776602143,0.00011091241923841789
4.6,34.0,5.1,9.846547314578007,4.8875,4.76,5.1,0.33999999999999986,1.8561344766408598,0.08366534902043458,0.7289664261350741,7.619013422327869e-05,8.439305505908314e-05,8.53472712439586e-05,7.617135217834241e-05
4.6,34.0,5.2,9.742474916387962,4.945,4.792,5.2,0.40800000000000036,1.75809683655748,0.8052789843215714,0.8126990561641035,0.00010763047399668299,0.00011980430517179439,0.00012027051082739696,0.00010754552503101232
4.6,35.0,5.1,9.859335038363174,4.88125,4.75,5.1,0.34999999999999964,1.860328082571623,0.005229084313782734,0.7412800481981663,7.337757803322678e-05,8.127931740428054e-05,8.231178579433968e-05,7.336560700550428e-05
4.6,35.0,5.2,9.757525083612041,4.9375,4.78,5.2,0.41999999999999993,1.762523720732062,0.7111554666735936,0.827475402639814,0.00010425622067100603,0.00011600335761500757,0.0001165020883615345,0.00010417863082360673
4.6,36.0,5.1,9.872122762148338,4.875,4.74,5.1,0.35999999999999943,1.8657060110815284,-0.07320718039285797,0.7535936702612586,7.058058899213544e-05,7.815664490764801e-05,7.926616601863452e-05,7.055986183266659e-05
4.6,36.0,5.2,9.772575250836121,4.93,4.768,5.2,0.4320000000000004,1.768199143514194,0.6170319490256159,0.8422517491155256,0.00010089142848870777,0.00011219821005246677,0.00011276555442556662,0.00010081173661620118
4.6,37.0,5.1,9.884910485933505,4.8687499999999995,4.7299999999999995,5.1,0.3700000000000001,1.8722580565504983,-0.1516434450995098,0.7659072923243518,6.777895803806075e-05,7.500946960547965e-05,7.621903921921289e-05,6.775411665982849e-05
4.6,37.0,5.2,9.787625418060202,4.9225,4.756,5.2,0.44399999999999995,1.7751111293822788,0.5229084313776493,0.8570280955912359,9.750157576887642e-05,0.00010840477526014891,0.00010908696328427876,9.744484240879602e-05
4.6,38.0,5.2,9.802675585284282,4.915,4.744,5.2,0.4560000000000004,1.7832452993743437,0.4287849137296715,0.8718044420669475,9.411367239580853e-05,0.0001046762233781368,0.00010540187987857632,9.407794820139047e-05
4.7,30.0,5.1,9.712140175219025,4.949999999999999,4.859999999999999,5.1,0.2400000000000002,1.6653352286346192,0.868027996086875,0.6058302055041498,0.00010432638553530964,0.00011601958747283534,0.0001165078200497937,0.00010422880390672056
4.7,31.0,5.1,9.722152690863581,4.945,4.852,5.1,0.24799999999999933,1.680639916095117,0.8052789843215714,0.6156811031546227,0.00010209070596219042,0.00011346569900218408,0.00011396158682393554,0.00010198420776845075
4.7,32.0,5.1,9.732165206508135,4.9399999999999995,4.843999999999999,5.1,0.2560000000000002,1.6971189106730997,0.7425299725562454,0.6255320008050977,9.985454242079597e-05,0.0001108948347537319,0.00011141698115780285,9.97396116301801e-05
4.7,33.0,5.1,9.742177722152691,4.935,4.836,5.1,0.26399999999999935,1.7147383566910899,0.6797809607909306,0.6353828984555707,9.761053690865477e-05,0.00010834068734496439,0.00010885894014552924,9.749501549190984e-05
4.7,34.0,5.0,9.860425531914895,4.8725000000000005,4.795999999999999,5.0,0.20400000000000063,1.6710168183491103,-0.10458168627550979,0.5615011660770174,6.390491332251532e-05,7.037755051895087e-05,7.139130627770622e-05,6.38762465009702e-05
4.7,34.0,5.1,9.752190237797247,4.93,4.827999999999999,5.1,0.27200000000000024,1.7334634788199124,0.6170319490256159,0.6452337961060458,9.535843901869087e-05,0.00010580455482317236,0.00010633772731224833,9.525041935363963e-05
4.7,35.0,5.0,9.86808510638298,4.86875,4.79,5.0,0.20999999999999996,1.6915431337248605,-0.15164344509949867,0.5688893393148721,6.222036097983326e-05,6.851288858844782e-05,6.957395862122162e-05,6.219279939726739e-05
4.7,35.0,5.1,9.762202753441803,4.925,4.82,5.1,0.27999999999999936,1.7532588509540086,0.5542829372603011,0.6550846937565187,9.312073304692083e-05,0.00010327452733520305,0.00010383151862287115,9.300582321536936e-05
4.7,36.0,5.0,9.875744680851065,4.865,4.784,5.0,0.2160000000000002,1.7131234937532152,-0.19870520392348753,0.5762775125527279,6.053675208834851e-05,6.66636845268971e-05,6.774191603248966e-05,6.0509352293564614e-05
