draw,best_existing_prediction,optimized_candidate_prediction,candidate_minus_existing
256,2.0950237083987453e-05,2.2996000490270125e-05,2.0457634062826722e-06
257,1.9855390919121705e-05,2.0027868591748114e-05,1.724776726264096e-07
258,1.4254121074365109e-05,1.7805878719823718e-05,3.551757645458609e-06
259,2.4475117675092583e-05,2.035326806944972e-05,-4.121849605642861e-06
260,2.0421161719809426e-05,2.2466056278334726e-05,2.0448945585253007e-06
261,1.7866877131003254e-05,2.2123496613215006e-05,4.256619482211752e-06
262,1.9072528892043062e-05,1.8032233924286604e-05,-1.040294967756458e-06
263,1.4891977595052866e-05,1.7710494165107646e-05,2.81851657005478e-06
264,1.935923005872169e-05,2.2273878294514213e-05,2.9146482357925244e-06
265,2.0008200767186562e-05,2.128025006206677e-05,1.2720492948802071e-06
266,1.5626000358009252e-05,1.8134139411882157e-05,2.5081390538729054e-06
267,1.9304831282306266e-05,2.0753294270555734e-05,1.448462988249468e-06
268,1.6662999825315622e-05,1.9638806599896962e-05,2.9758067745813396e-06
269,1.6671021620724156e-05,1.9463123655337234e-05,2.7921020346130785e-06
270,2.15848504175493e-05,2.0074808648985326e-05,-1.5100417685639739e-06
271,1.9726575359289503e-05,1.7908639030597486e-05,-1.8179363286920162e-06
272,2.347750111773334e-05,2.2454572610437594e-05,-1.0229285072957468e-06
273,2.1654965544985382e-05,2.129143742398351e-05,-3.635281210018726e-07
274,1.612763210885126e-05,1.839348570835366e-05,2.265853599502398e-06
275,2.1489273203003915e-05,1.965653835097994e-05,-1.8327348520239736e-06
276,2.0183135194932973e-05,1.8930712059484086e-05,-1.2524231354488875e-06
277,2.5113380473500306e-05,2.2286846678728833e-05,-2.826533794771473e-06
278,2.5864567663613352e-05,2.2497683021261906e-05,-3.3668846423514466e-06
279,2.406873539629878e-05,2.1704787285981234e-05,-2.3639481103175448e-06
280,2.085110023757814e-05,2.205242553749192e-05,1.2013252999137802e-06
281,1.666841849285852e-05,1.9653524312695524e-05,2.985105819837003e-06
282,1.7284846860190608e-05,2.1417669343389622e-05,4.132822483199014e-06
283,1.710215270253272e-05,1.9317930968758384e-05,2.2157782662256637e-06
284,1.954976511475542e-05,2.2515126286848827e-05,2.965361172093409e-06
285,2.1483761549452105e-05,2.1017582295490575e-05,-4.6617925396152967e-07
286,1.965960133902271e-05,2.1138116501412758e-05,1.4785151623900469e-06
287,2.0362314280371312e-05,2.201171466358053e-05,1.6494003832092163e-06
288,1.595601355054157e-05,2.139878073712041e-05,5.442767186578842e-06
289,2.4845996137968035e-05,2.0853891224111436e-05,-3.992104913856599e-06
290,2.1551400181879995e-05,2.2380025988891424e-05,8.286258070114291e-07
291,2.2198549787152077e-05,2.3753183460790536e-05,1.5546336736384595e-06
292,1.775145185061385e-05,2.0422356401794004e-05,2.670904551180154e-06
