battery_id,n0,fit_end,model,stable_slope,a,b,c,life,success,boundary,b_at_lower_bound,c_near_bound
9,41,150,linear,-9.862944832746597e-05,1.0045329335129065,-9.791168890304018e-05,1.0,2088.953176116194,True,False,False,False
9,41,150,power,-9.862944832746597e-05,1.0005490035769646,7.821921992494771e-07,1.9171903541330684,662.6246677148982,True,False,False,False
9,41,150,centered_quadratic,-9.862944832746597e-05,0.9995855194289588,4.607642007394857e-05,4.755529250375883e-07,642.1997437350195,True,False,False,False
9,51,150,linear,-0.0001040198799678792,1.0051388765523561,-0.00010315663235451817,1.0,1988.6154856951491,True,False,False,False
9,51,150,power,-0.0001040198799678792,1.0007238570327146,1.0384368059034588e-06,1.863157413635286,687.4432890207755,True,False,False,False
9,51,150,centered_quadratic,-0.0001040198799678792,0.9991554545712329,5.892599575996192e-05,4.467741070161284e-07,655.9578561760824,True,False,False,False
10,11,150,linear,-2.11924756360125e-05,1.0002252026968732,-1.93631249564635e-05,1.0,10340.541784813358,True,False,False,False
10,11,150,power,-2.11924756360125e-05,0.9997055051610175,3.092407423744777e-07,1.8112542181859808,1613.5169272611097,True,False,False,False
10,11,150,centered_quadratic,-2.11924756360125e-05,0.999658534129829,3.985986151113324e-06,1.1062689788019578e-07,1336.5307931076977,True,False,False,False
10,21,150,linear,-2.225026120198814e-05,1.0004615922150353,-2.160660500324809e-05,1.0,9277.792239220373,True,False,False,False
10,21,150,power,-2.225026120198814e-05,1.000001489966363,2.1772207635513174e-06,1.4378899154875688,2829.2834115415076,True,False,False,False
10,21,150,centered_quadratic,-2.225026120198814e-05,0.9998470417151432,1.406855212087055e-05,5.843451846805234e-08,1753.8637748067345,True,False,False,False
10,31,150,linear,-2.3068040124710774e-05,1.000609038441613,-2.2966170511513038e-05,1.0,8734.979928022693,True,False,False,False
10,31,150,power,-2.3068040124710774e-05,1.0004096147479484,1.176384442241408e-05,1.123757299219938,5826.080213273152,True,False,False,False
10,31,150,centered_quadratic,-2.3068040124710774e-05,0.9998552757968374,2.0840169210512545e-05,1.7865557151420507e-08,2842.8649272267694,True,False,False,False
10,41,150,linear,-2.3119302258386987e-05,1.0006190199226694,-2.3054336388203225e-05,1.0,8702.008010316229,True,False,False,False
10,41,150,power,-2.3119302258386987e-05,1.000315710224907,8.648485486449662e-06,1.1799169953074706,5002.902469271308,True,False,False,False
10,41,150,centered_quadratic,-2.3119302258386987e-05,0.9996280168264219,2.051126392532381e-05,2.3330940026370594e-08,2559.3980379322697,True,False,False,False
10,51,150,linear,-2.3756889269564572e-05,1.0006708852106259,-2.350434215672027e-05,1.0,8537.609088253115,True,False,False,False
10,51,150,power,-2.3756889269564572e-05,1.0005686750069758,1.79219300037745e-05,1.0487548975505323,7255.253750676155,True,False,False,False
10,51,150,centered_quadratic,-2.3756889269564572e-05,0.9994569488373439,2.2572816240989322e-05,9.40935268454993e-09,3609.29540110232,True,False,False,False
11,11,150,linear,-2.5205337682832123e-05,1.0004054740334436,-2.3964004188527817e-05,1.0,8362.770781411513,True,False,False,False
11,11,150,power,-2.5205337682832123e-05,1.0000354252890855,4.129205030122784e-06,1.3388769044800817,3157.774030398423,True,False,False,False
11,11,150,centered_quadratic,-2.5205337682832123e-05,0.9999726664613782,1.660732914542635e-05,5.292571973453205e-08,1804.230259564624,True,False,False,False
11,21,150,linear,-2.6126583090253836e-05,1.000558949822203,-2.541997551846827e-05,1.0,7889.816796892335,True,False,False,False
11,21,150,power,-2.6126583090253836e-05,1.0004138001980605,1.589551071962959e-05,1.0878190758390294,5883.144467314253,True,False,False,False
11,21,150,centered_quadratic,-2.6126583090253836e-05,0.9999953068937659,2.4022001648969415e-05,1.0837006740367104e-08,3349.248627137308,True,False,False,False
11,31,150,linear,-2.667825649053175e-05,1.000647838226071,-2.6241398890424992e-05,1.0,7646.232545143916,True,False,False,False
11,31,150,power,-2.667825649053175e-05,1.0011506583312308,7.720942641800686e-05,0.8058258543135366,17335.827355801637,True,False,False,False
11,31,150,centered_quadratic,-2.667825649053175e-05,0.9998343462016257,2.6240958610325006e-05,3.699832803535142e-12,7638.2007003363005,True,False,False,False
11,41,150,linear,-2.6297580080310564e-05,1.0006000045680117,-2.5813801792059424e-05,1.0,7771.036834633097,True,False,False,False
11,41,150,power,-2.6297580080310564e-05,1.0009889126696858,5.905918353841302e-05,0.8522003378458685,13945.369260746953,True,False,False,False
11,41,150,centered_quadratic,-2.6297580080310564e-05,0.9995415811234739,2.581060339962615e-05,2.934304982024224e-11,7705.213134887647,True,False,False,False
11,51,150,linear,-2.5940083680405662e-05,1.0005602947069951,-2.546935847155119e-05,1.0,7874.5719069059905,True,False,False,False
11,51,150,power,-2.5940083680405662e-05,1.0007605053732191,3.935272792726849e-05,0.9226182089522348,10439.405460363863,True,False,False,False
11,51,150,centered_quadratic,-2.5940083680405662e-05,0.9992613125086278,2.5466608492882912e-05,2.7777562385742038e-11,7809.754037627892,True,False,False,False
12,11,150,linear,-2.6517466605954162e-05,1.0003905332109864,-2.632716841034733e-05,1.0,7611.549031312729,True,False,False,False
12,11,150,power,-2.6517466605954162e-05,1.0001179705651093,9.110859850691122e-06,1.2030594881485162,4063.539037515101,True,False,False,False
12,11,150,centered_quadratic,-2.6517466605954162e-05,0.9999946210466617,2.1704850505530052e-05,3.325408564615724e-08,2158.64414643435,True,False,False,False
12,21,150,linear,-2.7429753705361335e-05,1.0004892731296842,-2.726553313089119e-05,1.0,7353.213016859539,True,False,False,False
12,21,150,power,-2.7429753705361335e-05,1.000405250221862,2.1364081703887014e-05,1.0454838017072916,6301.052703971347,True,False,False,False
12,21,150,centered_quadratic,-2.7429753705361335e-05,0.9999027993527176,2.6614084011314784e-05,5.049993175017761e-09,4207.105285820994,True,False,False,False
