battery_id,n0,model,cycle,observed,predicted
1,21,linear,168,1.0013679303061351,1.0031133868854845
1,21,linear,169,1.0020708838385373,1.0030935642555752
1,21,linear,170,1.0030309268578446,1.0030737416256659
1,21,linear,171,1.0023714359521643,1.0030539189957564
1,21,linear,172,1.0006014508223022,1.003034096365847
1,21,linear,173,0.9996034070961728,1.0030142737359378
1,21,linear,174,0.9986270177227583,1.0029944511060285
1,21,linear,175,0.9980836122088909,1.002974628476119
1,21,linear,176,0.9978717048258827,1.0029548058462097
1,21,linear,177,0.9980881334019138,1.0029349832163004
1,21,linear,178,0.9987131474621992,1.0029151605863909
1,21,linear,179,0.9998235511188321,1.0028953379564816
1,21,linear,180,1.0011065231854825,1.0028755153265723
1,21,linear,181,1.0013771727680894,1.002855692696663
1,21,linear,182,1.0016764928582509,1.0028358700667535
1,21,linear,183,1.0023240922011576,1.0028160474368442
1,21,linear,184,1.0025496689705158,1.0027962248069349
1,21,linear,185,1.0027810566496334,1.0027764021770253
1,21,linear,186,1.0024387748845074,1.002756579547116
1,21,linear,187,1.0019669105501887,1.0027367569172068
1,21,linear,188,1.001749130863073,1.0027169342872975
1,21,linear,189,1.0018799043084554,1.002697111657388
1,21,linear,190,1.001666978040517,1.0026772890274787
1,21,linear,191,1.0018924152574733,1.0026574663975694
1,21,linear,192,1.0013201509165075,1.0026376437676598
1,21,linear,193,1.0003872481179652,1.0026178211377506
1,21,linear,194,0.999941113240662,1.0025979985078413
1,21,linear,195,0.9986368612832792,1.0025781758779317
1,21,linear,196,0.9980639123735556,1.0025583532480224
1,21,linear,197,0.9975588394878703,1.0025385306181132
1,21,linear,198,0.9971216426262207,1.0025187079882039
1,21,linear,199,0.9967523217886071,1.0024988853582943
1,21,linear,200,0.9964508769750292,1.002479062728385
1,21,power,151,1.0035040341011485,1.002612475224769
1,21,power,152,1.003371233684344,1.0025472038828074
1,21,power,153,1.003249998700051,1.0024809017330416
1,21,power,154,1.0031403291482688,1.0024135593933714
1,21,power,155,1.0030422250289976,1.0023451674582589
1,21,power,156,1.0029556863422409,1.0022757164988223
1,21,power,157,1.0029072943153923,1.0022051970629309
1,21,power,158,1.0029532296974646,1.0021335996752954
1,21,power,159,1.002855579373866,1.0020609148375605
1,21,power,160,1.002860543825376,1.001987133028395
1,21,power,161,1.0025763543941397,1.0019122447035804
1,21,power,162,1.0014383798854618,1.001836240296101
1,21,power,163,1.0004746427551507,1.0017591102162298
1,21,power,164,0.999940860696534,1.001680844851617
1,21,power,165,0.9996885162089997,1.0016014345673747
1,21,power,166,0.9999216817116944,1.0015208697061624
1,21,power,167,1.0005932631675036,1.001439140588271
1,21,power,168,1.0013679303061351,1.0013562375117067
1,21,power,169,1.0020708838385373,1.0012721507522733
1,21,power,170,1.0030309268578446,1.0011868705636535
1,21,power,171,1.0023714359521643,1.0011003871774913
1,21,power,172,1.0006014508223022,1.0010126908034707
1,21,power,173,0.9996034070961728,1.0009237716293957
1,21,power,174,0.9986270177227583,1.00083361982127
1,21,power,175,0.9980836122088909,1.0007422255233736
1,21,power,176,0.9978717048258827,1.0006495788583403
1,21,power,177,0.9980881334019138,1.0005556699272358
1,21,power,178,0.9987131474621992,1.0004604888096311
1,21,power,179,0.9998235511188321,1.0003640255636799
1,21,power,180,1.0011065231854825,1.0002662702261917
1,21,power,181,1.0013771727680894,1.000167212812706
1,21,power,182,1.0016764928582509,1.0000668433175655
1,21,power,183,1.0023240922011576,0.9999651517139886
1,21,power,184,1.0025496689705158,0.9998621279541412
1,21,power,185,1.0027810566496334,0.9997577619692077
1,21,power,186,1.0024387748845074,0.9996520436694621
1,21,power,187,1.0019669105501887,0.9995449629443373
1,21,power,188,1.001749130863073,0.9994365096624946
1,21,power,189,1.0018799043084554,0.9993266736718933
1,21,power,190,1.001666978040517,0.9992154447998576
1,21,power,191,1.0018924152574733,0.9991028128531447
1,21,power,192,1.0013201509165075,0.9989887676180123
1,21,power,193,1.0003872481179652,0.9988732988602839
1,21,power,194,0.999941113240662,0.9987563963254158
1,21,power,195,0.9986368612832792,0.998638049738562
1,21,power,196,0.9980639123735556,0.9985182488046385
1,21,power,197,0.9975588394878703,0.9983969832083882
1,21,power,198,0.9971216426262207,0.9982742426144443
1,21,power,199,0.9967523217886071,0.9981500166673934
1,21,power,200,0.9964508769750292,0.9980242949918385
1,21,centered_quadratic,151,1.0035040341011485,1.0029429874242557
1,21,centered_quadratic,152,1.003371233684344,1.002901394957424
1,21,centered_quadratic,153,1.003249998700051,1.0028594837743712
1,21,centered_quadratic,154,1.0031403291482688,1.0028172538750975
1,21,centered_quadratic,155,1.0030422250289976,1.002774705259603
1,21,centered_quadratic,156,1.0029556863422409,1.0027318379278876
1,21,centered_quadratic,157,1.0029072943153923,1.0026886518799512
1,21,centered_quadratic,158,1.0029532296974646,1.0026451471157938
1,21,centered_quadratic,159,1.002855579373866,1.0026013236354154
1,21,centered_quadratic,160,1.002860543825376,1.0025571814388161
1,21,centered_quadratic,161,1.0025763543941397,1.002512720525996
1,21,centered_quadratic,162,1.0014383798854618,1.002467940896955
1,21,centered_quadratic,163,1.0004746427551507,1.002422842551693
1,21,centered_quadratic,164,0.999940860696534,1.00237742549021
1,21,centered_quadratic,165,0.9996885162089997,1.002331689712506
1,21,centered_quadratic,166,0.9999216817116944,1.0022856352185814
1,21,centered_quadratic,167,1.0005932631675036,1.0022392620084355
1,21,centered_quadratic,168,1.0013679303061351,1.0021925700820689
1,21,centered_quadratic,169,1.0020708838385373,1.0021455594394812
1,21,centered_quadratic,170,1.0030309268578446,1.0020982300806727
1,21,centered_quadratic,171,1.0023714359521643,1.0020505820056431
1,21,centered_quadratic,172,1.0006014508223022,1.0020026152143928
1,21,centered_quadratic,173,0.9996034070961728,1.0019543297069213
